City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,2022-09-24 03:45:56,77.484,-69.3632,10.81,79,59,6.89,broken clouds
1,Ahuimanu,US,2022-09-24 03:45:57,21.4447,-157.8378,82.11,73,40,6.91,scattered clouds
2,Charters Towers,AU,2022-09-24 03:45:57,-20.1,146.2667,87.66,27,0,2.04,clear sky
3,Lompoc,US,2022-09-24 03:45:58,34.6391,-120.4579,70.02,95,0,0.0,mist
4,Umba,RU,2022-09-24 03:45:58,66.6871,34.3429,45.79,89,100,6.93,overcast clouds
5,Tuktoyaktuk,CA,2022-09-24 03:45:59,69.4541,-133.0374,33.8,86,100,10.36,overcast clouds
6,Batticaloa,LK,2022-09-24 03:45:59,7.7102,81.6924,85.1,56,100,1.79,overcast clouds
7,Krasnyy Chikoy,RU,2022-09-24 03:45:59,50.3643,108.7512,47.68,76,100,2.19,overcast clouds
8,Punta Arenas,CL,2022-09-24 03:43:24,-53.15,-70.9167,39.31,75,0,10.36,clear sky
9,Mataura,NZ,2022-09-24 03:46:00,-46.1927,168.8643,59.54,55,85,5.03,overcast clouds
10,Talnakh,RU,2022-09-24 03:44:20,69.4865,88.3972,27.21,73,76,4.38,broken clouds
11,Nikolskoye,RU,2022-09-24 03:46:01,59.7035,30.7861,45.79,98,93,4.65,overcast clouds
12,Isangel,VU,2022-09-24 03:46:01,-19.55,169.2667,78.91,94,75,4.61,broken clouds
13,Klaksvik,FO,2022-09-24 03:46:02,62.2266,-6.589,43.72,77,35,10.98,scattered clouds
14,Saint George,US,2022-09-24 03:44:41,37.1041,-113.5841,80.8,22,0,6.91,clear sky
15,Butaritari,KI,2022-09-24 03:46:03,3.0707,172.7902,81.5,72,60,8.43,broken clouds
16,Hermanus,ZA,2022-09-24 03:46:03,-34.4187,19.2345,49.8,76,18,7.83,few clouds
17,Albany,US,2022-09-24 03:42:09,42.6001,-73.9662,47.41,70,0,1.99,clear sky
18,Busselton,AU,2022-09-24 03:46:04,-33.65,115.3333,60.01,46,26,12.66,scattered clouds
19,San Vicente,AR,2022-09-24 03:46:04,-26.6167,-54.1333,41.54,90,0,2.82,clear sky
20,Nabire,ID,2022-09-24 03:46:05,-3.3667,135.4833,86.65,64,82,5.93,broken clouds
21,Luganville,VU,2022-09-24 03:46:05,-15.5333,167.1667,83.01,72,52,7.2,broken clouds
22,Padang,ID,2022-09-24 03:42:57,-0.9492,100.3543,80.65,70,95,1.83,overcast clouds
23,Atuona,PF,2022-09-24 03:46:06,-9.8,-139.0333,76.59,80,23,13.38,few clouds
24,Jamestown,US,2022-09-24 03:45:28,42.097,-79.2353,47.79,73,0,4.61,clear sky
25,Bambous Virieux,MU,2022-09-24 03:46:07,-20.3428,57.7575,73.22,68,40,11.5,scattered clouds
26,Cabo San Lucas,MX,2022-09-24 03:46:07,22.8909,-109.9124,83.5,86,18,4.0,few clouds
27,Chippewa Falls,US,2022-09-24 03:44:06,44.9369,-91.3929,53.78,86,100,11.5,overcast clouds
28,Castro,BR,2022-09-24 03:43:34,-24.7911,-50.0119,43.05,83,0,3.36,clear sky
29,Yulara,AU,2022-09-24 03:46:08,-25.2406,130.9889,89.46,11,0,9.53,clear sky
30,Karratha,AU,2022-09-24 03:46:09,-20.7377,116.8463,90.59,28,1,16.22,clear sky
31,Rikitea,PF,2022-09-24 03:46:09,-23.1203,-134.9692,70.57,72,26,12.73,scattered clouds
32,Cape Town,ZA,2022-09-24 03:46:10,-33.9258,18.4232,55.38,72,0,5.75,clear sky
33,Camacupa,AO,2022-09-24 03:46:10,-12.0167,17.4833,65.89,59,64,2.8,broken clouds
34,Taltal,CL,2022-09-24 03:46:11,-25.4,-70.4833,56.3,75,4,0.83,clear sky
35,Talaya,RU,2022-09-24 03:46:11,61.3833,152.75,33.22,74,11,3.36,few clouds
36,Ushuaia,AR,2022-09-24 03:43:33,-54.8,-68.3,35.62,94,65,4.97,broken clouds
37,Sandane,NO,2022-09-24 03:46:12,61.7728,6.215,46.44,100,100,0.0,overcast clouds
38,Bathsheba,BB,2022-09-24 03:46:12,13.2167,-59.5167,83.01,74,40,12.66,scattered clouds
39,Aksarka,RU,2022-09-24 03:46:13,66.5606,67.7975,35.24,75,92,14.85,overcast clouds
40,Ulladulla,AU,2022-09-24 03:46:14,-35.35,150.4667,60.6,70,91,7.81,overcast clouds
41,Zhangye,CN,2022-09-24 03:46:14,38.9342,100.4517,69.1,19,47,3.58,scattered clouds
42,Westport,US,2022-09-24 03:42:38,41.1415,-73.3579,53.64,65,0,14.97,clear sky
43,Bluff,NZ,2022-09-24 03:46:15,-46.6,168.3333,54.23,81,86,7.52,overcast clouds
44,Puerto Ayora,EC,2022-09-24 03:46:15,-0.7393,-90.3518,67.55,91,91,1.99,overcast clouds
45,Laguna,US,2022-09-24 03:46:16,38.421,-121.4238,79.05,55,0,3.44,clear sky
46,Coahuayana,MX,2022-09-24 03:47:16,18.7333,-103.6833,76.66,92,77,2.48,broken clouds
47,Chuy,UY,2022-09-24 03:47:17,-33.6971,-53.4616,46.98,79,7,2.89,clear sky
48,Jalu,LY,2022-09-24 03:47:18,29.0331,21.5482,75.34,62,49,13.69,scattered clouds
49,Mpanda,TZ,2022-09-24 03:47:18,-6.3655,31.0409,66.94,51,93,2.64,overcast clouds
